RATE,month_start,DWEL_UNIT,days_in_period,usage_in_period
COM,4/1/2016,1,20,4.7
COM,2/1/2017,2,34,1.2
COM,5/1/2017,2,56,5.2
COM,6/1/2017,10,120,19.9
COM,7/1/2017,340,3956,8108.2
COM,8/1/2017,886,15384,28915.6
COM,9/1/2017,884,13272,25073.2
COM,10/1/2017,978,15190,27476.4
COM,11/1/2017,906,13638,23338.8
COM,12/1/2017,900,13978,21666.8
COM,1/1/2018,958,14860,23122.2
COM,2/1/2018,861,11997,16075.3
COM,3/1/2018,1021,15925,23608.4
COM,4/1/2018,978,14725,23536.2
COM,5/1/2018,1090,17114,37639.5
COM,6/1/2018,1080,15997,38301.7
COM,7/1/2018,4501,52917,205108.6
COM,8/1/2018,10220,174568,503895.2
COM,9/1/2018,9437,141571,439041.8
COM,10/1/2018,11664,181355,486313.3
COM,11/1/2018,9742,146135,394627.4
COM,12/1/2018,10038,155582,381250.6
COM,1/1/2019,10474,162336,384056.5
COM,2/1/2019,9165,128314,294204.6
COM,3/1/2019,10499,162733,394363
COM,4/1/2019,11244,168974,441004.2
COM,5/1/2019,11081,172036,454376.5
COM,6/1/2019,9788,146833,399666.9
COM,7/1/2019,7513,137585,349174.3
COM,8/1/2019,1407,5324,13367.8
COM&RES,7/1/2017,134,128,218
COM&RES,8/1/2017,284,610,809
COM&RES,9/1/2017,284,540,724.2
COM&RES,10/1/2017,284,558,767.4
COM&RES,11/1/2017,284,540,753.8
COM&RES,12/1/2017,276,496,784.4
COM&RES,1/1/2018,290,714,839.8
COM&RES,2/1/2018,288,560,753.4
COM&RES,3/1/2018,288,620,964
COM&RES,4/1/2018,288,600,893.6
COM&RES,5/1/2018,295,628,767.9
COM&RES,6/1/2018,304,664,706.3
COM&RES,7/1/2018,1508,1822,2418
COM&RES,8/1/2018,3113,8858,10041.2
COM&RES,9/1/2018,2972,6540,8362.1
COM&RES,10/1/2018,3351,9253,9627.1
COM&RES,11/1/2018,3062,6960,8254.3
COM&RES,12/1/2018,3050,7440,8510.5
COM&RES,1/1/2019,3148,7936,8827.2
COM&RES,2/1/2019,2068,5992,5803.2
COM&RES,3/1/2019,3158,7967,8654.3
COM&RES,4/1/2019,3520,8384,9151.1
COM&RES,5/1/2019,3886,8638,10754.6
COM&RES,6/1/2019,2156,6900,6938.4
COM&RES,7/1/2019,2821,7771,10153.3
COM&RES,8/1/2019,214,248,204
IND,7/1/2017,12,116,269.6
IND,8/1/2017,24,372,1164.4
IND,9/1/2017,24,360,899.8
IND,10/1/2017,24,372,1101.8
IND,11/1/2017,24,360,885.8
IND,12/1/2017,24,372,852.2
IND,1/1/2018,24,372,1041.6
IND,2/1/2018,24,336,862.6
IND,3/1/2018,30,518,1071
IND,4/1/2018,28,420,1075.8
IND,5/1/2018,28,434,1212.4
IND,6/1/2018,30,440,1177.2
IND,7/1/2018,161,2034,6435.7
IND,8/1/2018,386,6610,12506.2
IND,9/1/2018,338,5070,11615.3
IND,10/1/2018,433,6757,11046.9
IND,11/1/2018,366,5490,9943.6
